Id,SalePrice
1,179506.697033305
2,170026.193884794
3,161993.338762688
4,185349.559093978
5,177025.096440485
6,234890.957146871
7,149577.954246712
8,182679.550108862
9,197951.472767659
10,154373.59310174
11,123134.933314118
12,165063.43707675
13,229328.782923257
14,135185.109392018
15,135600.614079842
16,173871.594339087
17,184230.898516716
18,118653.499378666
19,170116.651847166
20,193110.832594461
21,179589.305920453
22,169897.004690675
23,121732.801342224
24,191191.746459028
25,124172.622481385
26,224132.651400037
27,216043.079823866
28,185389.894581603
29,149444.474197288
30,189041.665370362
31,172043.078663267
32,143502.872082105
33,151214.033250943
34,135073.04251826
35,217144.737849285
36,145753.998961556
37,249528.313230463
38,155617.018680911
39,133340.578504034
40,156270.854491657
41,223194.353283712
42,126907.249194316
43,140936.927010664
44,137205.119490866
45,165004.393670806
46,174385.937432499
47,114360.616685451
48,115667.258636362
49,186121.315743939
50,211553.802688334
51,169049.781803678
52,193762.90197079
53,103740.722661103
54,134015.597359725
55,187665.063326588
56,152416.473539808
57,156427.415257868
58,164917.406708452
59,183396.971479032
60,165738.564249823
61,158597.216823004
62,194124.886641213
63,109131.453450439
64,203105.396003006
65,169545.151763489
66,115882.274683838
67,212580.930155488
68,199458.96533442
69,165882.171203735
70,203732.461270917
71,105948.468919997
72,150665.522922854
73,180126.049856637
74,123862.566988619
75,128233.691586444
76,250018.4173293
77,174798.864742729
78,135199.244045665
79,149707.733873376
80,161322.780038374
81,166353.021024688
82,208274.427274075
83,199455.393281379
84,173275.536909559
85,189793.168047899
86,221611.389920571
87,162637.807893642
88,184108.276604419
89,118941.120621576
90,156546.797563323
91,151881.262427308
92,233225.684587086
93,175969.159737657
94,118475.81599075
95,183085.985413024
96,135426.177847968
97,180908.566170259
98,215717.096573063
99,207738.959104407
100,160724.122499879
101,210908.490264219
102,173537.162865267
103,184220.316909137
104,193508.179972645
105,156140.432456778
106,171052.519416699
107,185383.250820611
108,138098.397684211
109,131753.482286399
110,127248.717674966
111,111814.139386307
112,187404.963929486
113,163659.03794631
114,145693.940133622
115,179404.927252502
116,156451.9134326
117,146688.334927026
118,133595.933669703
119,171554.164972307
120,147355.96476783
121,167174.189016686
122,166856.8438085
123,147708.028171666
124,192774.729973444
125,161602.638596797
126,165041.128442696
127,174690.026201969
128,157518.329272732
129,203885.991267739
130,177835.337199862
131,161313.822978735
132,217978.274748995
133,132851.815528587
134,132258.848485141
135,211978.054359397
136,137479.969210321
137,229728.93066237
138,177970.836480114
139,181190.850049299
140,186474.555973249
141,193968.885805561
142,173825.665810922
143,249243.269949906
144,187241.984458964
145,204519.672059125
146,208209.950112161
147,148815.236886009
148,137553.264239968
149,158235.844308986
150,155481.876384042
151,207440.448500382
152,196108.998106987
153,126386.674469611
154,170121.686509712
155,176701.814836941
156,156351.840884031
157,211948.807911863
158,205652.429899289
159,125667.765742383
160,238764.082723823
161,140590.200965207
162,185007.539985636
163,228756.6558905
164,183371.493100501
165,136073.708033759
166,179938.48096317
167,184585.360664889
168,173573.841268844
169,139810.637404908
170,172099.020838336
171,150927.179327973
172,188228.154818583
173,222471.524155044
174,193850.190753346
175,186485.100781612
176,194995.087459149
177,199083.508504457
178,225449.341553614
179,193712.976843506
180,185617.688241417
181,140822.734134645
182,163196.144130791
183,179451.523517653
184,175647.498015185
185,169452.313993688
186,203701.48947393
187,162334.518359423
188,100331.540052916
189,229684.37797551
190,146715.348151833
191,152644.902945663
192,211344.345717647
193,158906.376490079
194,247663.59527503
195,168279.614739728
196,147750.674402363
197,204924.858537608
198,195640.940283996
199,237682.157383857
200,171407.920968404
201,190102.493633992
202,117788.925324277
203,173861.714987752
204,170891.203825668
205,152514.955799836
206,254426.203315636
207,188919.993215128
208,168507.16425866
209,166814.807587842
210,160181.285650475
211,250768.273827962
212,137676.434347113
213,177763.731852385
214,162207.300853575
215,123500.280376153
216,176566.811434235
217,168286.161847834
218,175780.404680082
219,191504.488612775
220,209636.898348999
221,145284.053938119
222,212546.47308681
223,142065.322227307
224,211751.636596779
225,147544.962731802
226,134946.945599389
227,131629.601357842
228,198529.432720159
229,161349.471829975
230,153864.67134813
231,184856.525445973
232,168512.663499137
233,142539.054541801
234,160995.683874411
235,146188.517537201
236,145782.012316531
237,164621.27044733
238,136424.34967759
239,133083.655556166
240,196006.503042733
241,171022.471837807
242,135661.909605289
243,178754.015432042
244,165683.679119651
245,125856.504031624
246,190306.984268737
247,194061.438823154
248,194136.43191873
249,174686.128526526
250,262964.333087751
251,198550.201832384
252,166244.634948507
253,185109.233297648
254,184791.173663088
255,158227.108375998
256,177214.47952022
257,137005.106225413
258,196718.878000824
259,143885.690037627
260,172875.173655924
261,180937.062160219
262,203844.578804452
263,144605.64405609
264,140255.239918595
265,239069.581501337
266,159963.250389829
267,164232.953403551
268,155045.113558197
269,148596.624016414
270,160373.046285097
271,202146.08550106
272,172622.279795987
273,192835.006238395
274,136302.599914649
275,120340.751062713
276,108887.636217326
277,169970.574864674
278,164271.079072735
279,213667.060497372
280,196194.282560636
281,141819.501806843
282,137491.668298979
283,136621.443257452
284,166265.723525842
285,201818.395021853
286,206395.743573195
287,191193.341624595
288,170161.054459054
289,177677.664950349
290,178011.155234761
291,197881.514805765
292,217254.07227877
293,196227.365038001
294,244115.784383425
295,179799.376781784
296,179535.637519882
297,178993.857977148
298,204467.226397139
299,163512.133360256
300,144905.481491919
301,200722.132828131
302,151148.027261497
303,167498.667927808
304,160712.474452523
305,181312.663635033
306,223451.825198692
307,155231.930231523
308,178865.768255594
309,167787.251455981
310,194866.088470467
311,119709.654112327
312,189829.953278851
313,172718.428460783
314,194866.906001037
315,142982.043249358
316,205777.874119845
317,167612.737826986
318,152595.552490955
319,167738.593407705
320,161815.195870939
321,195344.308105828
322,144082.44638173
323,206877.088239715
324,151349.921450843
325,181361.244548611
326,137675.664110012
327,183795.2575375
328,123045.975142796
329,157151.168925696
330,206552.799158984
331,204908.651139669
332,149374.253867763
333,143921.408614467
334,107616.538707811
335,187139.318288701
336,156270.240553087
337,141400.713150652
338,201928.293085795
339,140547.517255538
340,219079.372776216
341,185366.519186319
342,221179.628625936
343,141691.005324902
344,143181.403950892
345,261698.747612877
346,224823.677174004
347,179394.240937752
348,127855.748832573
349,157907.34224752
350,104800.76661822
351,159845.903445762
352,198939.758619228
353,93728.8057679844
354,122975.593543701
355,200988.723682971
356,155668.698829078
357,240933.987591781
358,142314.48442624
359,130940.283168013
360,187873.859675873
361,176571.122998589
362,184007.088435494
363,185041.581948277
364,149315.352723101
365,144829.957727371
366,132846.430701279
367,123804.126377585
368,188873.821660031
369,170372.540335009
370,185168.677840116
371,114191.685399006
372,111536.521102497
373,112879.912180151
374,218782.725152975
375,149010.144652232
376,142020.923260417
377,178579.900406661
378,158988.312558072
379,113403.303121992
380,172592.149657466
381,167763.196509033
382,146424.746483288
383,178272.772521886
384,197609.407472496
385,194538.154233852
386,165844.628333265
387,172384.631623961
388,196718.939322698
389,215581.217440589
390,212229.970163427
391,145042.578832686
392,122890.994676281
393,241436.015041695
394,170311.603451235
395,81524.888811347
396,181891.995648227
397,249797.66321587
398,148159.338631945
399,182185.482586851
400,112075.218993748
401,210468.79020881
402,140270.967305132
403,191165.781098019
404,180950.762662814
405,160074.683761237
406,139851.429624115
407,156984.952112933
408,117734.830241391
409,208293.105937533
410,211073.690090757
411,213849.184555861
412,158285.536981248
413,188267.879274083
414,153187.563548686
415,142989.817567271
416,168350.053986959
417,167049.640488804
418,137238.154732752
419,183393.157411756
420,182649.283816832
421,163932.065213557
422,122257.064849758
423,221633.767334868
424,222665.322860661
425,105605.617434829
426,247307.306823554
427,146032.304640045
428,177107.184684259
429,168641.022120093
